Name,Address,City,Province/State,Country,Postal/Zip Code,Phone,Fax,Email,Website,Hours,Latitude,Longitude,Click and Collect (Y/N),Dealer (Y/N),Rental Station (Y/N),Service Center (Y/N)
Sportshop Bittner,Weißestr. 26,Leipzig,Sachsen,DE,4299,+49 (0)341 59097850,, steffen@sportshop-bittner.de,https://sportshop-bittner.de/,"Open:
Monday - Friday 10:00 - 18:00
Thursday 10:00 - 19:00
Saturday 09:00 - 13:00

(+49)34159097850
------------------------------------------------",51.75424,12.581357,N,Y,N,N
Hepha Factory,Lise-Meitner-Str. 7a,Maisach,Bayern,DE,82216,+49 (0) 8142 2844480,,service@hepha.com,https://hepha.com/,"Service time:  Mo.-Fr.: 09:00-15:00
------------------------------------------------
This is our factory. No access without booking
",48.216,11.28875,N,N,N,N
Haslinger Hof - Fahrradverleih Arwin Krämer,Ed 1,Kirchham ,Bayern,DE,94148, +49 8531 2954941,,info@haslinger-hof.de,,,48.350458,13.289038,N,N,Y,N
 HANN-BIKES,Roseneck 1,Hüllhorst,Nordrhein-Westfalen,DE,32609,+49 57412506301,,service@e-bike-schrauber.de,,,52.264344,8.602996,N,Y,N,N
Radl-ladl,Frabertshamerstr.9a,Amerang,Bayern,DE,83123,08075 1698,, service@radl-ladl.de,https://www.radl-ladl.de/,"Montag, Dienstag, Donnerstag & Freitag: 9:00 - 12.00 Uhr & 13:00 - 18:00 Uhr
Mittwoch & Samstag: 9:00 - 12:00 Uhr",47.99131,12.31001,N,Y,N,N
Switchbike Bornemann OHG,"Katharinengasse	14",Gießen,Hessen,DE,35390,+49 (0)641-34393,,info@switchbike.de,https://www.switchbike.de/,"Montag, Dienstag, Mittwoch & Freitag: 10:00 - 18:00 Uhr
Donnerstag: geschlossen
Samstag: 10:00 - 16:00 Uhr",50.584165,8.671666,N,Y,N,N
Pott GmbH,"Heideweg, 12",Bad Laer,,DE,49196,+49 (0)05424 - 22 170,,info@pott-gmbh.de,,,52.101664,8.069241,N,Y,N,N
Fahrwerk Timmer Lingen,Meppener Str. 104,Lingen,,DE,49808,+49 (0)591 32 17 44-23,,lingen@fahrwerk.me,https://fahrwerk.me/,"Montag - Freitag: 9:30 - 13:00 Uhr & 14:00 - 18:30 Uhr
Samstag: 9:30 - 14:00 Uhr
",52.53245,7.30563,N,Y,N,N
Mr.Bike,Rechenauerstraße 20B,Rosenheim,,DE,83022,+49 (0)173 1588506,,info@mr-bike.com,,,47.864211,12.128701,N,Y,N,N
Schnellrad by Zweirad Schnell UG,Koblenzer Str. 38a,Hachenburg,,DE,57627,+49 (0)2662/9319770,,info@schnellrad.de,,"Montag, Dienstag, Donnerstag & Freitag: 13.00 - 18:30 Uhr
Samstag: 9:00 - 13:00 Uhr",50.660125,7.811194,N,Y,N,N
Hupfer GmbH,Bundesstr. 14,Lauchringen ,,DE,,+49 (0)7741/3289,,afathi@hupfer-fahrradladen.de,,,47.632157,8.299615,N,Y,N,N
Zwoo GmbH/Fahrradladen Essen,Huyssenallee 95,Essen,North Rhine-Westphalia,DE,45128,+49 (0)201/36036960,,info@fahrradladen-essen.de,https://fahrradladen-essen.de,"""Montag - Freitag: 10:00 - 18:00 Uhr
Samstag: 10:00 - 16:00 Uhr""
",51.444461,7.008503,N,Y,N,N
Bikes for friends GmbH,Dorfstraße. 20,Geiersthal,,DE,94244,+49 (0)1707475196,,bikesforfriends@posteo.de,,,49.046493,12.979978,N,Y,N,N
OLEK'S RADSPORT GMBH,"Mathildenstrasse	54",Einhausen,,DE,64683,+49 (0)625/153039,,info@oleks-radsport.de,https://www.oleks-radsport.de/,"Montag, Dienstag, Donnerstag & Freitag: 9:00 - 12:30 Uhr & 14:30 Uhr - 18:00 Uhr
Mittwoch: 9:00 - 12:30 Uhr
Samstag: 9:00 - 13:00 Uhr",49.672312,8.544783,N,Y,N,N
Total Normal Bikes GmbH,Kaiserstraße 331,Sankt Ingbert,Saarland,DE,66386,+49 (0) 6894 - 87530,,info@total-normal.com,https://total-normal.com/,"Montag, Mittwoch & Donnerstag: 13:30 �?18:00 Uhr
Dienstag & Freitag: 10:00 �?12:00 & 13:30 �?18:00 Uhr
Samstag: 9:30 �?13:00 Uhr",49.286502,7.135046,N,Y,N,N
ebike-saar GmbH,Mainzer Straße 269,Saarbrücken,,DE,66121,0681 96868911,,info@ebike-saar.com,https://www.ebike-saar.com/,"Montag - Freitag: 14:00 - 18:00 Uhr
Samstag: 10:00 - 14:00 Uhr
",49.225295,7.027941,N,Y,N,N
Pulssport Blieskastel,Von-der-Leyen-Straße 7,Blieskastel,,DE,66440,+49 6842 946533,,info@puls-sport.de,https://www.puls-sport.com/,"Montag, Dienstag, Donnerstag & Freitag: 13:00 - 18:00 Uhr
Samstag: 9:00 - 12:00 Uhr",49.237417,7.259218,N,Y,N,N
Zweirad Service Dorfrad,Grünstrasse 1,Kabelsketal-Naundorf,,DE,6184,+49 179 2938403,,enrico-hartmann@web.de,https://www.dorfrad.de,"Montag - Freitag: 12.00 - 19:00 Uhr 
und nach Vereinbarung",51.450865,12.079671,N,Y,N,Y
Karls Bike Shop,Kaigartenallee 12,Waghäusel,,DE,68753,+49 (0)72549583180,,info@karls-bike-shop.de,,,49.255026,8.540545,N,Y,N,N
Vineyard-bikes,Weinberggasse 25,Balzheim,,DE,88481,+49 7347 920698,,vineyard-bikes@t-online.de,http://vineyard-bikes.de ,,48.17735,10.07121,N,Y,N,Y
Matti's Bike Shop,Bahnhofstraße 62,Bönen,,DE,59199,4.92384E+12,,info@mattis-bike-shop.de,https://mattis-bike-shop.de,"""Montag: geschlossen
Dienstag & Donnerstag: 10:00 - 18:00 Uhr
Mittwoch & Freitag: 08:00 - 16:00 Uhr
Samstag: 09:00 - 13:00 Uhr""",51.596635,7.750465,N,Y,N,N
Otto Achilles 2-Radgeschäft,Bahnhofstr. 30,Winsen,,DE,29308,4951432265,,ottoachilles@dg-email.de,,"Montag, Mittwoch & Freitag: 10:00 - 12:30 Uhr & 14:30 - 18:00 Uhr
Dienstag & Donnerstag: 14:30 - 18:00 Uhr
Samstag: 10:00 . 13:00 Uhr""",52.673687,9.905519,N,Y,N,Y
Bavarian Finest E-Bikes,Fischerei 43,Dießen,,DE,86911,+49 8807 4391051,,info@bavarian-finest-e.bike,http://www.bavarian-finest-e.bike,,47.948851,11.107992,Y,Y,N,N
Location Vélo Dunkerque,1 bis Digue de Mer,Dunkerque,,FR,59140,+33(0�?59346353,,lvdknord@gmail.com,https://www.location-velo-dunkerque.fr,,51.04912,2.386325,N,Y,N,N
We Like Bikes,Münchener Strasse 23,Haar,,DE,85540,8920072791,,info@welikebikes.de,,,48.110401,11.719309,N,Y,N,N
Reyhle GmbH & Co. KG ,Lichtensteinstraße 2,Dornstadt,,DE,89160,07348 9673232,,info@radsport-reyhle.de,http://radsport-Reyhle.de,"Winter-Öffnungszeiten ab 14.10.2024:
Montag - Freitag: 10:00 - 18:00 Uhr
Samstag: 9:00 - 14:00 Uhr""",48.484456,9.894646,N,Y,N,N
cap.velo.creuse,2 Place du 19 Mars 1962,Champsanglard,,FR,23220,641350368,,cap.velo.creuse@gmail.com,,,46.274291,1.881742,N,Y,N,N
Miriquidi Bike Store GmbH,Lohngasse  3,Wolkenstein,,DE,09429,+49(0)37369-274601,,miriquidi.wolkenstein@gmail.com,https://miriquidi-bikestore.de,"Montag, Mittwoch & Freitag: 09:00�?2:00 & 13:00�?6:00 Uhr
Dienstag & Donnerstag: 09:00�?2:00 & 13:00�?8:00 Uhr
Samstag	nach Vereinbarung	",50.655848,13.067428,Y,Y,N,Y
Paddock shop,10,Vesoul,,FR,70000,+33 0685107074,,contact@paddockshop.fr,,,47.619788,6.15428,N,Y,N,Y
ATV CYCLES,ROUTE DES TROIS VILLAGES,PLATEAU DES PETITES ROCHES,,FR,38660,+33 4 58 00 59 32,,contact@atv-cycles.fr,,,45.312064,5.887148,N,Y,N,Y
Les Hauts Vélos,rue Sainte-Cécile,Paris,,FR,75009,+33 9 73 88 90 96,,contact@lhv.store,http://www.leshautsvelos.fr,,48.873221,2.345586,N,N,N,Y
BauerBikes E-Bike Store Graz,Puntigamer Straße 124,Graz,,AT,8055,+43 316 292 671,,info.graz@bauerbikes.com,http://www.bauerbikes.com,"Montag - Freitag: 10:00 - 13:00 Uhr & 14:00 - 17:00 Uhr
Samstag: 10:00 - 13:00 Uhr",47.0344,15.444312,N,Y,N,Y
BauerBikes E-Bike Store St. Margarethen/Raab,St. Margarethen 10b,St. Margarethen/Raab,,AT,8323,+43 311 594 171,,info.gleisdorf@bauerbikes.com,http://www.bauerbikes.com,"Montag, Donnerstag & Freitag: 14:00 - 17:00 Uhr
Samstag: 10:00 - 13:00 Uhr
",47.046469,15.74612,N,Y,N,Y
Arndt Fahrradhandel,An der Bärenhecke 33,Nennslingen,,DE,91790,+49 91477599005,,arndt-fahrradladen@gmx.de,,,49.043055,11.126919,N,Y,N,N
Pfalz-Bikes e. K.,Flörsheimer Ring 5a,Trippstadt,Rheinland-Pfalz,DE,67705,06306 701948,,info@pfalz-bikes.de,https://pfalz-bikes.de/,"Montag: 08:00�?2:00 / 13:00�?7:00
Dienstag: 08:00�?2:00 / 13:00�?7:00
Mittwoch: 08:00�?2:00 / 13:00�?7:00
Donnerstag: 08:00�?2:00 / 13:00�?7:00
Freitag: 08:00�?2:00 / 13:00�?7:00
Samstag: Geschlossen
Sonntag: Geschlossen",49.364696,7.76465,N,Y,N,N
Olek's Radsport,Hafenstraße 3,Raunheim,Hessen,DE,65479,+49 (0)6142 833 869 1,+49 (0)6142 833 869 , info@biketeam-raunheim.de,https://www.oleks-radsport.de/,"Montag: geschlossen
Dienstag - Freitag: 10:00 - 13:00 Uhr & 14:30 - 19:00 Uhr
Samstag: 10:00 - 16:00 Uhr",50.010633,8.439906,N,Y,N,N
VELOLAND FUNCYCLES,13 AVENUE DE BEL AIR // ZC DE LA CLAIRCIERE,SAINT PIERRE D'OLERON,Poitou-Charentes,FR,17310,546369197 / 23911875,,funcyclesio@gmail.com,https://www.veloland-funcycles.fr/,,45.935534,-1.304816,N,Y,N,N
Citibike Bordeaux,avenue descartes 32,St médard en jalles,Aquitaine,FR,33160,985020687 / 49915034,,bordeaux@citibike.fr,,,44.886246,-0.69447,N,Y,N,N
LES VELOS DE LEON,RUE DUQUESNE 5,DIEPPE,Haute-Normandie,FR,76200,235828490,,lesvelosdeleon@gmail.com,https://lesvelosdeleon.fr/,,49.927561,1.078884,N,Y,N,N
ARMOR CYCLES,ZA DE LANJOUAN,LAMBALLE,Bretagne,FR,22400,296310423 / 84498525,,serviceclient@armorcycles.fr,,,48.481199,-2.497017,N,Y,N,N
CITIBIKE LE HAVRE,RUE JULES SIEGFRIED 9,LE HAVRE,Haute-Normandie,FR,76600,954709102,,lehavre@citibike.fr,,,49.49233,0.110023,N,Y,N,N
CITIBIKE CHERBOURG,Rue Albert Mahieu 11,CHERBOURG EN COTENTIN,Basse Normandie,FR,50100,950737004,,cherbourg@citibike.fr,,,49.639714,-1.62514,N,Y,N,N
CITIBIKE CAEN,Rue de Bernières 1,CAEN,Basse Normandie,FR,14000,952312014,,caen@citibike.fr,http://www.citibike.fr,,49.183451,-0.357029,N,Y,N,N
FG BIKE STORE,QUAI DE BREST 11,REDON,Bretagne,FR,35600,299722238 / 86743001,,fg.bikestore@gmail.com,http://fgbikestore.fr,,47.648896,-2.086358,N,Y,N,N
VELOVOLT,AVENUE DU COMMANDANT LYSIACK 8,AYTRE,Poitou-Charentes,FR,17440,546561378,,larochelle@velovolt.fr,,,46.137837,-1.129171,N,Y,N,N
Citibike Biganos,ZAC de la cassadotte en face de la cour des materiaux de Leroy Merlin,Biganos,Aquitaine,FR,33180,985235882 / 85935026,,biganos@citibike.fr,,,44.641626,-0.948821,N,Y,N,N
Citibike Anglet,21 r Loustalot,Anglet,Aquitaine,FR,64600,05 59 20 81 11,,,http://www.citibike.fr,,43.494898,-1.519968,N,Y,N,N
Fahrwerk Bocholt,An der Königsmühle 16,Bocholt,,DE,46395,028713543540,,bocholt@fahrwerk.me,http://www.fahrwerk.me,"Montag - Freitag: 9:30 - 13:00 Uhr & 14:00 - 18:30 Uhr
Samstag: 9:30 - 14:00 Uhr",51.826685,6.58762,N,Y,N,N
Fahrwerk Stadtlohn,Gutenbergstr. 13 ,Stadtlohn,,DE,48703,+49 25636261,,stadtlohn@fahrwerk.me,http://www.fahrwerk.me,"Montag - Freitag: 9:30 - 13:00 Uhr & 14:00 - 18:30 Uhr
Samstag: 9:30 - 14:00 Uhr",51.989743,6.898087,N,Y,N,N
