brandName,modelName,modelYear,modelNameVariant,modelVariant,availableFrom,articleNumber,GTIN,UPC,availFrameSizes,frameSize,frameSizeCm,frameSizeInch,frameSizeLetter,isOneSize,rrp,special,dealer,frame,frameType,frameTypeKey,material,engine,engineBrand,engineSpeed,engineTorque,enginePowerOutput,hasEngine,battery,batteryBrand,batteryCapacity,batteryLock,display,charger,chargerBrand,chargerPower,fork,forkSuspensionTravel,shock,rearSuspensionTravel,shockSuspensionTravel,shockMounting,hasShock,marketingColor,frameGlossiness,color,gearRearDerailleur,gearSystemKey,gearCount,hasGearHub,hasDerailleurGear,gearShiftLever,sprocket,sprocketCount,smallestSprocket,largestSprocket,brakes,brake lever,brak DiscFront,diameterFrontDisc,brakeDiscRear,diameterRearDisc,brakesBrand,brakeTypeKey,hasCoasterBrake,saddle,seatPost,innerDiameterSeatPost,outerDiameterSeatPost,saddleClamping,handlebarMarketing,materialHandlebar,widthHandlebar,clampDiameterHandlebar,stem,materialStem,hasAdjustableStem,lengthStem,clampDiameterStem,grips,hasErgonomicGrips,bell,hasBell,headset,hasInternalCableRouting,pedals,wheelset,rims,rimFront,rimRear,sizeRimFront,sizeRimRear,diameterRimFront,diameterRimRear,widthRimFront,widthRimRear,tyres,tyreFront,tyreRear,sizeTireFront,sizeTireRear,widthTireFront,widthTireRear,diameterTireEtrtoFront,diameterTireEtrtoRear,widthTireEtrtoFront,widthTireEtrtoRear,wheelset,hasPlusSizeWheels,wheelSize,wheelSizeFront,wheelSizeRear,hasMixedWheelSizes,hubs,hubFront,widthHubFront,diameterHubFront,numberOfHolesHubFront,discRotorMountHubFront,hubRear,widthHubRear,diameterHubRear,numberOfHolesHubRear,discRotorMountHubRear,spokes,frontLight,rearLight,hasLighting,fenders,hasFenders,hasFenderMountingOption,chainGuard,kickstand,hasKickstand,hasKickstandMountingOption,carrier,hasRearCarrier,hasRearCarrierMountingOption,frontCarrier,hasFrontCarrier,hasFrontCarrierMountingOption,lock,chainring,chainringTeeth,chainringChainline,chainringMounting,crankset,lengthCrankset,mountingCrankset,chain,driveTrain,mainImageFile,SecondaryImageFile,DetailImageFile1,DetailImageFile2,DetailImageFile3,IsoCategory,categoryKey,categoryName
HEPHA,Urban 8,2026,Urban 8 Ultra,Ultra,,2610508HS47BG,10694685362712,,"M, L",M (47cm),47,,M,FALSE,2999,,2142.142857,HEPHA Alloy Premium ,High Step,DIAMANT,Aluminium,HEPHA P101C (100Nm / 250W / 25km/h),HEPHA,25,100,250,TRUE,HEPHA BT-600B (600Wh),HEPHA,600,TRUE,HEPHA SC-201 (1.96” Color),HEPHA EC-P100B (6A / Ultra Fast),HEPHA,6,Hepha Rigid Alloy Fork,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Blue Grey,matt,,FALSE,,5,TRUE,FALSE,Shimano / SL-C7000-5 / Nexus,Gates / Sprocket Nexus / 28T,1,28,28,Shimano BR-MT410,"
Shimano BL-MT401","SM-RT56, M 180MM",180,"RT-EM300, M 160MM",160,Shimano,DISC_HYDRAULIC,FALSE,"ISTOS Saddle, Comfort, 155mm","ISTOS Seat Post Light, 31,6mm, 300mm",31.6,34.9,Quick-Release,"ISTOS Handlebar, Sport, 31,8mm, 700mm, ErgoAdjust",aluminum,700,31.8,"ISTOS Stem, 80mm, 31,8mm, ErgoAdjust",aluminum,FALSE,80,31.8,"ISTOS  Grips Comfort, 95 / 135mm",TRUE,"Annuo, 11A-05 Bell black",TRUE,"Acros AZX-581 ICR, ZS56",TRUE,"WELLGO C220DU BORON AXLE, Alloy",FALSE,"ISTOS Rim, 28"", Alloy Tour, 622x30, 32 hole","ISTOS Rim, 28"", Alloy Tour, 622x30, 32 hole","ISTOS Rim, 28"", Alloy Tour, 622x30, 32 hole",28,28,622,622,30,30,Schwalbe / G-One Overland / 50-622,Schwalbe / G-One Overland / 50-622,Schwalbe / G-One Overland / 50-622,28,28,2.0,2.0,622,622,50,50,FALSE,FALSE,28,28,28,FALSE,,2Lock,110,15,32,6-Bolt,Shimano / Nexus 5,135,10,32,Centerlock,14G ED Black,"ISTOS Light, 100 LUX",Satelite M18,TRUE,"ISTOS Fender, 28"", Duraplast",TRUE,TRUE,FALSE,ISTOS  Kickstand 40mm,TRUE,TRUE,"ISTOS Flex Carrier, 28"", MIK HD, Child-Seat ready",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Gates / CDX / BCD104, 42T, CL=45.5MM",42,45.5,Spider,"ISTOS Crank, 165mm, ISIS, Alloy, Light",165,ISIS,Gates / CDX / 122T,Belt,HEPHA_MY26_URBAN 8_Ultra_BlueGrey,,,,,2,URBAN,eUrban
HEPHA,Urban 8,2026,Urban 8 Ultra,Ultra,,2610508HS52BG,10694685362729,,"M, L",L (52cm),52,,L,FALSE,2999,,2142.142857,HEPHA Alloy Premium ,High Step,DIAMANT,Aluminium,HEPHA P101C (100Nm / 250W / 25km/h),HEPHA,25,100,250,TRUE,HEPHA BT-600B (600Wh),HEPHA,600,TRUE,HEPHA SC-201 (1.96” Color),HEPHA EC-P100B (6A / Ultra Fast),HEPHA,6,Hepha Rigid Alloy Fork,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Blue Grey,matt,,FALSE,,5,TRUE,FALSE,Shimano / SL-C7000-5 / Nexus,Gates / Sprocket Nexus / 28T,1,28,28,Shimano BR-MT410,"
Shimano BL-MT401","SM-RT56, M 180MM",180,"RT-EM300, M 160MM",160,Shimano,DISC_HYDRAULIC,FALSE,"ISTOS Saddle, Comfort, 155mm","ISTOS Seat Post Light, 31,6mm, 300mm",31.6,34.9,Quick-Release,"ISTOS Handlebar, Sport, 31,8mm, 700mm, ErgoAdjust",aluminum,700,31.8,"ISTOS Stem, 80mm, 31,8mm, ErgoAdjust",aluminum,FALSE,80,31.8,"ISTOS  Grips Comfort, 95 / 135mm",TRUE,"Annuo, 11A-05 Bell black",TRUE,"Acros AZX-581 ICR, ZS56",TRUE,"WELLGO C220DU BORON AXLE, Alloy",FALSE,"ISTOS Rim, 28"", Alloy Tour, 622x30, 32 hole","ISTOS Rim, 28"", Alloy Tour, 622x30, 32 hole","ISTOS Rim, 28"", Alloy Tour, 622x30, 32 hole",28,28,622,622,30,30,Schwalbe / G-One Overland / 50-622,Schwalbe / G-One Overland / 50-622,Schwalbe / G-One Overland / 50-622,28,28,2.0,2.0,622,622,50,50,FALSE,FALSE,28,28,28,FALSE,,2Lock,110,15,32,6-Bolt,Shimano / Nexus 5,135,10,32,Centerlock,14G ED Black,"ISTOS Light, 100 LUX",Satelite M18,TRUE,"ISTOS Fender, 28"", Duraplast",TRUE,TRUE,FALSE,ISTOS  Kickstand 40mm,TRUE,TRUE,"ISTOS Flex Carrier, 28"", MIK HD, Child-Seat ready",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Gates / CDX / BCD104, 42T, CL=45.5MM",42,45.5,Spider,"ISTOS Crank, 165mm, ISIS, Alloy, Light",165,ISIS,Gates / CDX / 122T,Belt,HEPHA_MY26_URBAN 8_Ultra_BlueGrey,,,,,2,URBAN,eUrban
HEPHA,Urban 8,2026,Urban 8 Long Range,Long Range,,2610308HS47MG,10694685362736,,"M, L",M (47cm),47,,M,FALSE,2399,,1713.571429,HEPHA Alloy Premium ,High Step,DIAMANT,Aluminium,HEPHA P101C (100Nm / 250W / 25km/h),HEPHA,25,100,250,TRUE,HEPHA BT-600B (600Wh),HEPHA,600,TRUE,HEPHA SC-201 (1.96” Color),HEPHA EC-P100B (6A / Ultra Fast),HEPHA,6,Hepha Rigid Alloy Fork,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mid Grey,matt,,FALSE,,5,TRUE,FALSE,Shimano / SL-C7000-5 / Nexus,Shimano / Sprocket Nexus / 24T,1,24,24,Shimano BR-MT200,"
Shimano BL-MT200","SM-RT54, M 180MM",180,"RT-EM300, M 160MM",160,Shimano,DISC_HYDRAULIC,FALSE,"ISTOS Saddle, Comfort, 155mm","ISTOS Seat Post Light, 31,6mm, 300mm",31.6,34.9,Quick-Release,"ISTOS Handlebar, Sport, 31,8mm, 700mm, ErgoAdjust",aluminum,700,31.8,"ISTOS Stem, 80mm, 31,8mm, ErgoAdjust",aluminum,FALSE,80,31.8,"ISTOS  Grips Comfort, 95 / 135mm",TRUE,"Annuo, 11A-05 Bell black",TRUE,"Acros AZX-581 ICR, ZS56",TRUE,"WELLGO C220DU BORON AXLE, Alloy",FALSE,"ISTOS Rim, 28"", Alloy Tour, 622x30, 32 hole","ISTOS Rim, 28"", Alloy Tour, 622x30, 32 hole","ISTOS Rim, 28"", Alloy Tour, 622x30, 32 hole",28,28,622,622,30,30,Schwalbe / Motion Big Apple / 50-622,Schwalbe / Motion Big Apple / 50-622,Schwalbe / Motion Big Apple / 50-622,28,28,2.0,2.0,622,622,50,50,FALSE,FALSE,28,28,28,FALSE,,KT-TZ1F,110,15,32,Centerlock,Shimano / Nexus 5,135,10,32,Centerlock,14G ED Black,"ISTOS Light, 60LUX",Satelite M18,TRUE,"ISTOS Fender, 28"", Duraplast",TRUE,TRUE,FALSE,ISTOS  Kickstand 40mm,TRUE,TRUE,"ISTOS Flex Carrier, 28"", MIK HD, Child-Seat ready",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Lasco EE02-38T,38,47.5,Direct Mount,"ISTOS Crank, 165mm, ISIS, Alloy, Light",165,ISIS,"KMC e1 1/2""-3/32"" NP single speed",Chain,HEPHA_MY26_URBAN 8_LongRange_MidGrey,,,,,2,URBAN,eUrban
HEPHA,Urban 8,2026,Urban 8 Long Range,Long Range,,2610308HS52MG,10694685362743,,"M, L",L (52cm),52,,L,FALSE,2399,,1713.571429,HEPHA Alloy Premium ,High Step,DIAMANT,Aluminium,HEPHA P101C (100Nm / 250W / 25km/h),HEPHA,25,100,250,TRUE,HEPHA BT-600B (600Wh),HEPHA,600,TRUE,HEPHA SC-201 (1.96” Color),HEPHA EC-P100B (6A / Ultra Fast),HEPHA,6,Hepha Rigid Alloy Fork,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mid Grey,matt,,FALSE,,5,TRUE,FALSE,Shimano / SL-C7000-5 / Nexus,Shimano / Sprocket Nexus / 24T,1,24,24,Shimano BR-MT200,"
Shimano BL-MT200","SM-RT54, M 180MM",180,"RT-EM300, M 160MM",160,Shimano,DISC_HYDRAULIC,FALSE,"ISTOS Saddle, Comfort, 155mm","ISTOS Seat Post Light, 31,6mm, 300mm",31.6,34.9,Quick-Release,"ISTOS Handlebar, Sport, 31,8mm, 700mm, ErgoAdjust",aluminum,700,31.8,"ISTOS Stem, 80mm, 31,8mm, ErgoAdjust",aluminum,FALSE,80,31.8,"ISTOS  Grips Comfort, 95 / 135mm",TRUE,"Annuo, 11A-05 Bell black",TRUE,"Acros AZX-581 ICR, ZS56",TRUE,"WELLGO C220DU BORON AXLE, Alloy",FALSE,"ISTOS Rim, 28"", Alloy Tour, 622x30, 32 hole","ISTOS Rim, 28"", Alloy Tour, 622x30, 32 hole","ISTOS Rim, 28"", Alloy Tour, 622x30, 32 hole",28,28,622,622,30,30,Schwalbe / Motion Big Apple / 50-622,Schwalbe / Motion Big Apple / 50-622,Schwalbe / Motion Big Apple / 50-622,28,28,2.0,2.0,622,622,50,50,FALSE,FALSE,28,28,28,FALSE,,KT-TZ1F,110,15,32,Centerlock,Shimano / Nexus 5,135,10,32,Centerlock,14G ED Black,"ISTOS Light, 60LUX",Satelite M18,TRUE,"ISTOS Fender, 28"", Duraplast",TRUE,TRUE,FALSE,ISTOS  Kickstand 40mm,TRUE,TRUE,"ISTOS Flex Carrier, 28"", MIK HD, Child-Seat ready",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Lasco EE02-38T,38,47.5,Direct Mount,"ISTOS Crank, 165mm, ISIS, Alloy, Light",165,ISIS,"KMC e1 1/2""-3/32"" NP single speed",Chain,HEPHA_MY26_URBAN 8_LongRange_MidGrey,,,,,2,URBAN,eUrban
HEPHA,City 7,2026,City 7 Ultra,Ultra,,2620507HS50DB,10694685362750,,"M, L, XL",M (50cm),50,,M,FALSE,3699,,2642.14,HEPHA Alloy Premium ,High Step,DIAMANT,Aluminium,HEPHA P101C (100Nm / 250W / 25km/h),HEPHA,25,100,250,TRUE,HEPHA BT-800B (800Wh),HEPHA,800,TRUE,HEPHA SC-351 (3.50” Color),HEPHA EC-P100B (6A / Ultra Fast),HEPHA,6,Suntour Mobie34-D AIR 2CR,80,FALSE,FALSE,FALSE,FALSE,FALSE,Dark Blue,matt,,FALSE,,FALSE,TRUE,FALSE,Enviolo Manual Twist Display Pure,Gates / Sprocket Enviolo / 22T,1,22,22,Shimano BR-MT410,"
Shimano BL-MT401","SM-RT54, M 180MM",180,"SM-RT56, S 160MM",160,Shimano,DISC_HYDRAULIC,FALSE,"ISTOS Saddle, Comfort, 175mm","ISTOS Seat Post, 31,6mm, 300mm",31.6,34.9,Quick-Release,"ISTOS Handlebar, Super Comfort, 31,8mm, 700mm, ErgoAdjustt",aluminum,700,31.8,"ISTOS FlexStem, 90mm, 31,8mm, 0-50°, ErgoAdjust",aluminum,TRUE,90,31.8,"ISTOS  Grips Super Comfort, 95 / 140mm",TRUE,"Annuo, 11A-05 Bell black",TRUE,"H-856F5: OD56*ID39,8*CONE RACE_39,8",FALSE,"Fuxon VPE-461 BORON AXLE, Alloy",FALSE,"ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole","ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole","ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole",27.5,27.5,584,584,25,25,Schwalbe / Motion Big Apple / 55-584,Schwalbe / Motion Big Apple / 55-584,Schwalbe / Motion Big Apple / 55-584,27.5,27.5,2.2,2.2,584,584,55,55,FALSE,FALSE,27.5,27.5,27.5,FALSE,,KT-TZ0F,100,15,36,Centerlock,Enviolo / Heavy Duty,135,10,36,6-Bolt,13G ED Black,Litemove SE-70 / 70 Lux,AXA Blue Line LED,TRUE,"ISTOS Fender, 27,5"", Alloy",TRUE,TRUE,FALSE,ISTOS  Kickstand 40mm,TRUE,TRUE,"ISTOS Carrier, 27,5"", MIK HD, Child-Seat ready",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Gates / CDX / BCD104, 46T, CL=45.5MM",46,45.5,Spider,"ISTOS Crank, 165mm, ISIS, Alloy",165,ISIS,Gates / CDX / 122T,Belt,HEPHA_MY26_City7_Ultra_HS_DarkBlue,,,,,2,CITY,eCity
HEPHA,City 7,2026,City 7 Ultra,Ultra,,2620507HS55DB,10694685362767,,"M, L, XL",L (55cm),55,,L,FALSE,3699,,2642.14,HEPHA Alloy Premium ,High Step,DIAMANT,Aluminium,HEPHA P101C (100Nm / 250W / 25km/h),HEPHA,25,100,250,TRUE,HEPHA BT-800B (800Wh),HEPHA,800,TRUE,HEPHA SC-351 (3.50” Color),HEPHA EC-P100B (6A / Ultra Fast),HEPHA,6,Suntour Mobie34-D AIR 2CR,80,FALSE,FALSE,FALSE,FALSE,FALSE,Dark Blue,matt,,FALSE,,FALSE,TRUE,FALSE,Enviolo Manual Twist Display Pure,Gates / Sprocket Enviolo / 22T,1,22,22,Shimano BR-MT410,"
Shimano BL-MT401","SM-RT54, M 180MM",180,"SM-RT56, S 160MM",160,Shimano,DISC_HYDRAULIC,FALSE,"ISTOS Saddle, Comfort, 175mm","ISTOS Seat Post, 31,6mm, 300mm",31.6,34.9,Quick-Release,"ISTOS Handlebar, Super Comfort, 31,8mm, 700mm, ErgoAdjustt",aluminum,700,31.8,"ISTOS FlexStem, 90mm, 31,8mm, 0-50°, ErgoAdjust",aluminum,TRUE,90,31.8,"ISTOS  Grips Super Comfort, 95 / 140mm",TRUE,"Annuo, 11A-05 Bell black",TRUE,"H-856F5: OD56*ID39,8*CONE RACE_39,8",FALSE,"Fuxon VPE-461 BORON AXLE, Alloy",FALSE,"ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole","ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole","ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole",27.5,27.5,584,584,25,25,Schwalbe / Motion Big Apple / 55-584,Schwalbe / Motion Big Apple / 55-584,Schwalbe / Motion Big Apple / 55-584,27.5,27.5,2.2,2.2,584,584,55,55,FALSE,FALSE,27.5,27.5,27.5,FALSE,,KT-TZ0F,100,15,36,Centerlock,Enviolo / Heavy Duty,135,10,36,6-Bolt,13G ED Black,Litemove SE-70 / 70 Lux,AXA Blue Line LED,TRUE,"ISTOS Fender, 27,5"", Alloy",TRUE,TRUE,FALSE,ISTOS  Kickstand 40mm,TRUE,TRUE,"ISTOS Carrier, 27,5"", MIK HD, Child-Seat ready",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Gates / CDX / BCD104, 46T, CL=45.5MM",46,45.5,Spider,"ISTOS Crank, 165mm, ISIS, Alloy",165,ISIS,Gates / CDX / 122T,Belt,HEPHA_MY26_City7_Ultra_HS_DarkBlue,,,,,2,CITY,eCity
HEPHA,City 7,2026,City 7 Ultra,Ultra,,2620507HS60DB,10694685362774,,"M, L, XL",XL (60cm),60,,XL,FALSE,3699,,2642.14,HEPHA Alloy Premium ,High Step,DIAMANT,Aluminium,HEPHA P101C (100Nm / 250W / 25km/h),HEPHA,25,100,250,TRUE,HEPHA BT-800B (800Wh),HEPHA,800,TRUE,HEPHA SC-351 (3.50” Color),HEPHA EC-P100B (6A / Ultra Fast),HEPHA,6,Suntour Mobie34-D AIR 2CR,80,FALSE,FALSE,FALSE,FALSE,FALSE,Dark Blue,matt,,FALSE,,FALSE,TRUE,FALSE,Enviolo Manual Twist Display Pure,Gates / Sprocket Enviolo / 22T,1,22,22,Shimano BR-MT410,"
Shimano BL-MT401","SM-RT54, M 180MM",180,"SM-RT56, S 160MM",160,Shimano,DISC_HYDRAULIC,FALSE,"ISTOS Saddle, Comfort, 175mm","ISTOS Seat Post, 31,6mm, 300mm",31.6,34.9,Quick-Release,"ISTOS Handlebar, Super Comfort, 31,8mm, 700mm, ErgoAdjustt",aluminum,700,31.8,"ISTOS FlexStem, 90mm, 31,8mm, 0-50°, ErgoAdjust",aluminum,TRUE,90,31.8,"ISTOS  Grips Super Comfort, 95 / 140mm",TRUE,"Annuo, 11A-05 Bell black",TRUE,"H-856F5: OD56*ID39,8*CONE RACE_39,8",FALSE,"Fuxon VPE-461 BORON AXLE, Alloy",FALSE,"ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole","ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole","ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole",27.5,27.5,584,584,25,25,Schwalbe / Motion Big Apple / 55-584,Schwalbe / Motion Big Apple / 55-584,Schwalbe / Motion Big Apple / 55-584,27.5,27.5,2.2,2.2,584,584,55,55,FALSE,FALSE,27.5,27.5,27.5,FALSE,,KT-TZ0F,100,15,36,Centerlock,Enviolo / Heavy Duty,135,10,36,6-Bolt,13G ED Black,Litemove SE-70 / 70 Lux,AXA Blue Line LED,TRUE,"ISTOS Fender, 27,5"", Alloy",TRUE,TRUE,FALSE,ISTOS  Kickstand 40mm,TRUE,TRUE,"ISTOS Carrier, 27,5"", MIK HD, Child-Seat ready",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Gates / CDX / BCD104, 46T, CL=45.5MM",46,45.5,Spider,"ISTOS Crank, 165mm, ISIS, Alloy",165,ISIS,Gates / CDX / 122T,Belt,HEPHA_MY26_City7_Ultra_HS_DarkBlue,,,,,2,CITY,eCity
HEPHA,City 7,2026,City 7 Ultra,Ultra,,2620507LS45DB,10694685362781,,"S, M, L",S (45cm),45,,S,FALSE,3699,,2642.142857,HEPHA Alloy Premium ,Low Step,WAVE,Aluminium,HEPHA P101C (100Nm / 250W / 25km/h),HEPHA,25,100,250,TRUE,HEPHA BT-800B (800Wh),HEPHA,800,TRUE,HEPHA SC-351 (3.50” Color),HEPHA EC-P100B (6A / Ultra Fast),HEPHA,6,Suntour Mobie34-D AIR 2CR,80,FALSE,FALSE,FALSE,FALSE,FALSE,Dark Blue,matt,,FALSE,,FALSE,TRUE,FALSE,Enviolo Manual Twist Display Pure,Gates / Sprocket Enviolo / 22T,1,22,22,Shimano BR-MT410,"
Shimano BL-MT401","SM-RT54, M 180MM",180,"SM-RT56, S 160MM",160,Shimano,DISC_HYDRAULIC,FALSE,"ISTOS Saddle, Comfort, 175mm","ISTOS Seat Post, 31,6mm, 300mm",31.6,34.9,Quick-Release,"ISTOS Handlebar, Super Comfort, 31,8mm, 700mm, ErgoAdjustt",aluminum,700,31.8,"ISTOS FlexStem, 90mm, 31,8mm, 0-50°, ErgoAdjust",aluminum,TRUE,90,31.8,"ISTOS  Grips Super Comfort, 95 / 140mm",TRUE,"Annuo, 11A-05 Bell black",TRUE,"H-856F5: OD56*ID39,8*CONE RACE_39,8",FALSE,"Fuxon VPE-461 BORON AXLE, Alloy",FALSE,"ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole","ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole","ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole",27.5,27.5,584,584,25,25,Schwalbe / Motion Big Apple / 55-584,Schwalbe / Motion Big Apple / 55-584,Schwalbe / Motion Big Apple / 55-584,27.5,27.5,2.2,2.2,584,584,55,55,FALSE,FALSE,27.5,27.5,27.5,FALSE,,KT-TZ0F,100,15,36,Centerlock,Enviolo / Heavy Duty,135,10,36,6-Bolt,13G ED Black,Litemove SE-70 / 70 Lux,AXA Blue Line LED,TRUE,"ISTOS Fender, 27,5"", Alloy",TRUE,TRUE,FALSE,ISTOS  Kickstand 40mm,TRUE,TRUE,"ISTOS Carrier, 27,5"", MIK HD, Child-Seat ready",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Gates / CDX / BCD104, 46T, CL=45.5MM",46,45.5,Spider,"ISTOS Crank, 165mm, ISIS, Alloy",165,ISIS,Gates / CDX / 122T,Belt,HEPHA_MY26_City7_Ultra_LS_DarkBlue,,,,,2,CITY,eCity
HEPHA,City 7,2026,City 7 Ultra,Ultra,,2620507LS50DB,10694685362798,,"S, M, L",M (50cm),50,,M,FALSE,3699,,2642.14,HEPHA Alloy Premium ,Low Step,WAVE,Aluminium,HEPHA P101C (100Nm / 250W / 25km/h),HEPHA,25,100,250,TRUE,HEPHA BT-800B (800Wh),HEPHA,800,TRUE,HEPHA SC-351 (3.50” Color),HEPHA EC-P100B (6A / Ultra Fast),HEPHA,6,Suntour Mobie34-D AIR 2CR,80,FALSE,FALSE,FALSE,FALSE,FALSE,Dark Blue,matt,,FALSE,,FALSE,TRUE,FALSE,Enviolo Manual Twist Display Pure,Gates / Sprocket Enviolo / 22T,1,22,22,Shimano BR-MT410,"
Shimano BL-MT401","SM-RT54, M 180MM",180,"SM-RT56, S 160MM",160,Shimano,DISC_HYDRAULIC,FALSE,"ISTOS Saddle, Comfort, 175mm","ISTOS Seat Post, 31,6mm, 300mm",31.6,34.9,Quick-Release,"ISTOS Handlebar, Super Comfort, 31,8mm, 700mm, ErgoAdjustt",aluminum,700,31.8,"ISTOS FlexStem, 90mm, 31,8mm, 0-50°, ErgoAdjust",aluminum,TRUE,90,31.8,"ISTOS  Grips Super Comfort, 95 / 140mm",TRUE,"Annuo, 11A-05 Bell black",TRUE,"H-856F5: OD56*ID39,8*CONE RACE_39,8",FALSE,"Fuxon VPE-461 BORON AXLE, Alloy",FALSE,"ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole","ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole","ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole",27.5,27.5,584,584,25,25,Schwalbe / Motion Big Apple / 55-584,Schwalbe / Motion Big Apple / 55-584,Schwalbe / Motion Big Apple / 55-584,27.5,27.5,2.2,2.2,584,584,55,55,FALSE,FALSE,27.5,27.5,27.5,FALSE,,KT-TZ0F,100,15,36,Centerlock,Enviolo / Heavy Duty,135,10,36,6-Bolt,13G ED Black,Litemove SE-70 / 70 Lux,AXA Blue Line LED,TRUE,"ISTOS Fender, 27,5"", Alloy",TRUE,TRUE,FALSE,ISTOS  Kickstand 40mm,TRUE,TRUE,"ISTOS Carrier, 27,5"", MIK HD, Child-Seat ready",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Gates / CDX / BCD104, 46T, CL=45.5MM",46,45.5,Spider,"ISTOS Crank, 165mm, ISIS, Alloy",165,ISIS,Gates / CDX / 122T,Belt,HEPHA_MY26_City7_Ultra_LS_DarkBlue,,,,,2,CITY,eCity
HEPHA,City 7,2026,City 7 Ultra,Ultra,,2620507LS55DB,10694685362804,,"S, M, L",L (55cm),55,,L,FALSE,3699,,2642.14,HEPHA Alloy Premium ,Low Step,WAVE,Aluminium,HEPHA P101C (100Nm / 250W / 25km/h),HEPHA,25,100,250,TRUE,HEPHA BT-800B (800Wh),HEPHA,800,TRUE,HEPHA SC-351 (3.50” Color),HEPHA EC-P100B (6A / Ultra Fast),HEPHA,6,Suntour Mobie34-D AIR 2CR,80,FALSE,FALSE,FALSE,FALSE,FALSE,Dark Blue,matt,,FALSE,,FALSE,TRUE,FALSE,Enviolo Manual Twist Display Pure,Gates / Sprocket Enviolo / 22T,1,22,22,Shimano BR-MT410,"
Shimano BL-MT401","SM-RT54, M 180MM",180,"SM-RT56, S 160MM",160,Shimano,DISC_HYDRAULIC,FALSE,"ISTOS Saddle, Comfort, 175mm","ISTOS Seat Post, 31,6mm, 300mm",31.6,34.9,Quick-Release,"ISTOS Handlebar, Super Comfort, 31,8mm, 700mm, ErgoAdjustt",aluminum,700,31.8,"ISTOS FlexStem, 90mm, 31,8mm, 0-50°, ErgoAdjust",aluminum,TRUE,90,31.8,"ISTOS  Grips Super Comfort, 95 / 140mm",TRUE,"Annuo, 11A-05 Bell black",TRUE,"H-856F5: OD56*ID39,8*CONE RACE_39,8",FALSE,"Fuxon VPE-461 BORON AXLE, Alloy",FALSE,"ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole","ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole","ISTOS Rim, 27,5"", Alloy Tour, 584x25, 36 hole",27.5,27.5,584,584,25,25,Schwalbe / Motion Big Apple / 55-584,Schwalbe / Motion Big Apple / 55-584,Schwalbe / Motion Big Apple / 55-584,27.5,27.5,2.2,2.2,584,584,55,55,FALSE,FALSE,27.5,27.5,27.5,FALSE,,KT-TZ0F,100,15,36,Centerlock,Enviolo / Heavy Duty,135,10,36,6-Bolt,13G ED Black,Litemove SE-70 / 70 Lux,AXA Blue Line LED,TRUE,"ISTOS Fender, 27,5"", Alloy",TRUE,TRUE,FALSE,ISTOS  Kickstand 40mm,TRUE,TRUE,"ISTOS Carrier, 27,5"", MIK HD, Child-Seat ready",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Gates / CDX / BCD104, 46T, CL=45.5MM",46,45.5,Spider,"ISTOS Crank, 165mm, ISIS, Alloy",165,ISIS,Gates / CDX / 122T,Belt,HEPHA_MY26_City7_Ultra_LS_DarkBlue,,,,,2,CITY,eCity
